w,00:12:30,3,1,0.0,C:/Users/siche/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/vulpix.gif
awef,00:16:26,0,59,0.028300000000000002,
hres,00:16:28,1,5,0.0,
awerg,00:16:29,0,57,0.04020000000000001,
sh,00:16:29,0,56,0.046200000000000005,
aagw,00:16:31,0,55,0.0391,
sher,00:16:33,1,7,0.0007000000000000001,
ag,00:16:34,0,53,0.028200000000000003,
af,00:16:34,1,11,0.0026000000000000003,
she,00:16:34,0,52,0.04300000000000001,
strj,00:16:35,0,52,0.034,
eras,00:16:35,1,21,0.0044,
eu,00:16:35,1,4,0.0,
djyd,00:16:36,0,51,0.0341,
dyjt,00:16:36,1,4,0.0001,
rkuy,00:16:37,1,29,0.0103,
shrtu,00:16:37,0,49,0.0232,
di,00:16:38,0,49,0.034,
yie,00:16:38,0,48,0.0288,
dgh,00:16:38,1,18,0.0026,
st,00:16:40,1,11,0.0009000000000000001,
dj,00:16:40,1,0,0.0,
sjrt,00:16:40,1,5,0.00030000000000000003,
sjs,00:16:41,1,12,0.0015,
rjrsr,00:16:41,0,45,0.0074,
su,00:16:43,0,44,0.027000000000000003,
srtj,00:16:43,0,44,0.015100000000000002,
srt,00:16:44,0,43,0.0175,
aey,00:16:44,0,43,0.0264,
aery,00:16:44,0,43,0.0132,
aeryaery,00:16:45,1,4,0.00030000000000000003,
aerytir,00:16:47,0,40,0.026500000000000003,
y,00:16:48,0,39,0.0228,
ritt,00:16:49,0,38,0.0097,
treu,00:16:49,1,1,0.0,
dfgh,00:16:49,0,38,0.015600000000000003,
dh,00:16:52,0,35,0.0086,
rit,00:16:53,0,34,0.0082,
duy,00:16:54,0,33,0.0255,
ytsr,00:16:54,0,33,0.013400000000000002,
Kevin,00:17:07,0,20,0.009500000000000001,
WPOiujgapowiue,00:17:09,0,18,0.0060999999999999995,
awhaweg,00:17:16,0,12,0.0033,
ehw,00:17:17,0,11,0.0021000000000000003,
eh,00:17:17,0,11,0.0017000000000000001,
